股票,市场,名称,行业模型,优质池等级,综合优质分,基础理论分,去短历史封顶分,去短历史封顶等级,是否因历史数据封顶,是否因历史数据受限,是否因排雷状态扣分,是否因规则AI分歧扣分,封顶原因,规则质量评级,规则质量分,AI评级,数据年数,历史可信度,数据质量,数据质量分,风险扣分,质量理由,综合观察
DOCS,US,"Doximity, Inc. Class A Common Stock",通用,优质池,78.0,93.9,93.9,核心优质池,是,是,否,否,短历史封顶生效,优质候选,100,优质候选,4,C 短历史,Medium,80,短历史封顶,数据质量中等，质量评级需降置信度；长期ROE达到行业优秀线；ROE稳定性较好；近5年无亏损；近5年经营现金流持续为正；自由现金流整体为正；资产负债率符合行业语境；营收增长达到行业较好水平,规则质量评级与AI评级一致；但数据年数少于5年，长期ROE、波动和CAGR应按短历史估计降置信度
FAST,US,Fastenal Company - Common Stock,通用,优质池,78.0,93.9,93.9,核心优质池,是,是,否,否,短历史封顶生效,优质候选,100,优质候选,4,C 短历史,Medium,80,短历史封顶,数据质量中等，质量评级需降置信度；长期ROE达到行业优秀线；ROE稳定性较好；近5年无亏损；近5年经营现金流持续为正；自由现金流整体为正；资产负债率符合行业语境；营收增长达到行业较好水平,规则质量评级与AI评级一致；但数据年数少于5年，长期ROE、波动和CAGR应按短历史估计降置信度
GGG,US,Graco Inc. Common Stock,通用,优质池,78.0,93.9,93.9,核心优质池,是,是,否,否,短历史封顶生效,优质候选,100,优质候选,4,C 短历史,Medium,80,短历史封顶,数据质量中等，质量评级需降置信度；长期ROE达到行业优秀线；ROE稳定性较好；近5年无亏损；近5年经营现金流持续为正；自由现金流整体为正；资产负债率符合行业语境；营收增长处于可接受区间,规则质量评级与AI评级一致；但数据年数少于5年，长期ROE、波动和CAGR应按短历史估计降置信度
SEIC,US,SEI Investments Company - Common Stock,通用,优质池,78.0,93.9,93.9,核心优质池,是,是,否,否,短历史封顶生效,优质候选,100,优质候选,4,C 短历史,Medium,80,短历史封顶,数据质量中等，质量评级需降置信度；长期ROE达到行业优秀线；ROE稳定性较好；近5年无亏损；近5年经营现金流持续为正；自由现金流整体为正；资产负债率符合行业语境；营收增长达到行业较好水平,规则质量评级与AI评级一致；但数据年数少于5年，长期ROE、波动和CAGR应按短历史估计降置信度
USLM,US,"United States Lime & Minerals, Inc. - Common Stock",周期,优质池,78.0,93.9,93.9,核心优质池,是,是,否,否,短历史封顶生效,优质候选,100,优质候选,4,C 短历史,Medium,80,短历史封顶,数据质量中等，质量评级需降置信度；长期ROE达到行业优秀线；ROE稳定性较好；近5年无亏损；近5年经营现金流持续为正；自由现金流整体为正；资产负债率符合行业语境；营收增长达到行业较好水平,规则质量评级与AI评级一致；但数据年数少于5年，长期ROE、波动和CAGR应按短历史估计降置信度
YETI,US,"YETI Holdings, Inc. Common Stock",通用,优质池,78.0,93.8,93.8,核心优质池,是,是,否,否,短历史封顶生效,优质候选,100,优质候选,4,C 短历史,Medium,80,短历史封顶,数据质量中等，质量评级需降置信度；长期ROE达到行业优秀线；ROE稳定性较好；近5年无亏损；近5年经营现金流持续为正；自由现金流整体为正；资产负债率符合行业语境；营收增长达到行业较好水平,规则质量评级与AI评级一致；但数据年数少于5年，长期ROE、波动和CAGR应按短历史估计降置信度
GNTX,US,Gentex Corporation - Common Stock,通用,优质池,78.0,93.7,93.7,核心优质池,是,是,否,否,短历史封顶生效,优质候选,100,优质候选,4,C 短历史,Medium,80,短历史封顶,数据质量中等，质量评级需降置信度；长期ROE达到行业优秀线；ROE稳定性较好；近5年无亏损；近5年经营现金流持续为正；自由现金流整体为正；资产负债率符合行业语境；营收增长达到行业较好水平,规则质量评级与AI评级一致；但数据年数少于5年，长期ROE、波动和CAGR应按短历史估计降置信度
MNST,US,Monster Beverage Corporation - Common Stock,消费,优质池,78.0,93.7,93.7,核心优质池,是,是,否,否,短历史封顶生效,优质候选,100,优质候选,4,C 短历史,Medium,80,短历史封顶,数据质量中等，质量评级需降置信度；长期ROE达到行业优秀线；ROE稳定性较好；近5年无亏损；近5年经营现金流持续为正；自由现金流整体为正；资产负债率符合行业语境；营收增长达到行业较好水平,规则质量评级与AI评级一致；但数据年数少于5年，长期ROE、波动和CAGR应按短历史估计降置信度
SCCO,US,Southern Copper Corporation Common Stock,通用,优质池,78.0,93.7,93.7,核心优质池,是,是,否,否,短历史封顶生效,优质候选,100,优质候选,4,C 短历史,Medium,80,短历史封顶,数据质量中等，质量评级需降置信度；长期ROE达到行业优秀线；ROE稳定性较好；近5年无亏损；近5年经营现金流持续为正；自由现金流整体为正；资产负债率符合行业语境；营收增长达到行业较好水平,规则质量评级与AI评级一致；但数据年数少于5年，长期ROE、波动和CAGR应按短历史估计降置信度
TSM,US,Taiwan Semiconductor Manufacturing Company Ltd.,科技,优质池,78.0,93.7,93.7,核心优质池,是,是,否,否,短历史封顶生效,优质候选,100,优质候选,4,C 短历史,Medium,80,短历史封顶,数据质量中等，质量评级需降置信度；长期ROE达到行业优秀线；ROE稳定性较好；近5年无亏损；近5年经营现金流持续为正；自由现金流整体为正；资产负债率符合行业语境；营收增长达到行业较好水平；成熟科技现金流龙头：高ROE、强FCF、无亏损且OCF持续为正,规则质量评级与AI评级一致；但数据年数少于5年，长期ROE、波动和CAGR应按短历史估计降置信度
XPEL,US,"XPEL, Inc. - Common Stock",通用,优质池,78.0,93.7,93.7,核心优质池,是,是,否,否,短历史封顶生效,优质候选,100,优质候选,4,C 短历史,Medium,80,短历史封顶,数据质量中等，质量评级需降置信度；长期ROE达到行业优秀线；ROE稳定性较好；近5年无亏损；近5年经营现金流持续为正；自由现金流整体为正；资产负债率符合行业语境；营收增长达到行业较好水平,规则质量评级与AI评级一致；但数据年数少于5年，长期ROE、波动和CAGR应按短历史估计降置信度
CSW,US,"CSW Industrials, Inc. Common Stock",通用,优质池,78.0,93.6,93.6,核心优质池,是,是,否,否,短历史封顶生效,优质候选,100,优质候选,4,C 短历史,Medium,80,短历史封顶,数据质量中等，质量评级需降置信度；长期ROE达到行业优秀线；ROE稳定性较好；近5年无亏损；近5年经营现金流持续为正；自由现金流整体为正；资产负债率符合行业语境；营收增长达到行业较好水平,规则质量评级与AI评级一致；但数据年数少于5年，长期ROE、波动和CAGR应按短历史估计降置信度
GRMN,US,Garmin Ltd. Common Stock (Switzerland),通用,优质池,78.0,93.6,93.6,核心优质池,是,是,否,否,短历史封顶生效,优质候选,100,优质候选,4,C 短历史,Medium,80,短历史封顶,数据质量中等，质量评级需降置信度；长期ROE达到行业优秀线；ROE稳定性较好；近5年无亏损；近5年经营现金流持续为正；自由现金流整体为正；资产负债率符合行业语境；营收增长达到行业较好水平,规则质量评级与AI评级一致；但数据年数少于5年，长期ROE、波动和CAGR应按短历史估计降置信度
ITRN,US,Ituran Location and Control Ltd. - Ordinary Shares,通用,优质池,78.0,93.6,93.6,核心优质池,是,是,否,否,短历史封顶生效,优质候选,100,优质候选,4,C 短历史,Medium,80,短历史封顶,数据质量中等，质量评级需降置信度；长期ROE达到行业优秀线；ROE稳定性较好；近5年无亏损；近5年经营现金流持续为正；自由现金流整体为正；资产负债率符合行业语境；营收增长达到行业较好水平,规则质量评级与AI评级一致；但数据年数少于5年，长期ROE、波动和CAGR应按短历史估计降置信度
ANET,US,"Arista Networks, Inc. Common Stock",科技,优质池,78.0,93.4,93.4,核心优质池,是,是,否,否,短历史封顶生效,优质候选,100,优质候选,4,C 短历史,Medium,80,短历史封顶,数据质量中等，质量评级需降置信度；长期ROE达到行业优秀线；ROE稳定性较好；近5年无亏损；近5年经营现金流持续为正；自由现金流整体为正；资产负债率符合行业语境；营收增长达到行业较好水平,规则质量评级与AI评级一致；但数据年数少于5年，长期ROE、波动和CAGR应按短历史估计降置信度
CPRT,US,"Copart, Inc. - Common Stock",通用,优质池,78.0,93.4,93.4,核心优质池,是,是,否,否,短历史封顶生效,优质候选,100,优质候选,4,C 短历史,Medium,80,短历史封顶,数据质量中等，质量评级需降置信度；长期ROE达到行业优秀线；ROE稳定性较好；近5年无亏损；近5年经营现金流持续为正；自由现金流整体为正；资产负债率符合行业语境；营收增长达到行业较好水平,规则质量评级与AI评级一致；但数据年数少于5年，长期ROE、波动和CAGR应按短历史估计降置信度
CVCO,US,"Cavco Industries, Inc. - Common Stock",周期,优质池,78.0,93.4,93.4,核心优质池,是,是,否,否,短历史封顶生效,优质候选,100,优质候选,4,C 短历史,Medium,80,短历史封顶,数据质量中等，质量评级需降置信度；长期ROE达到行业优秀线；ROE稳定性较好；近5年无亏损；近5年经营现金流持续为正；自由现金流整体为正；资产负债率符合行业语境；营收增长达到行业较好水平,规则质量评级与AI评级一致；但数据年数少于5年，长期ROE、波动和CAGR应按短历史估计降置信度
EHC,US,Encompass Health Corporation Common Stock,通用,优质池,78.0,93.4,93.4,核心优质池,是,是,否,否,短历史封顶生效,优质候选,100,优质候选,4,C 短历史,Medium,80,短历史封顶,数据质量中等，质量评级需降置信度；长期ROE达到行业优秀线；ROE稳定性较好；近5年无亏损；近5年经营现金流持续为正；自由现金流整体为正；资产负债率符合行业语境；营收增长达到行业较好水平,规则质量评级与AI评级一致；但数据年数少于5年，长期ROE、波动和CAGR应按短历史估计降置信度
LRN,US,"Stride, Inc. Common Stock",通用,优质池,78.0,93.4,93.4,核心优质池,是,是,否,否,短历史封顶生效,优质候选,100,优质候选,4,C 短历史,Medium,80,短历史封顶,数据质量中等，质量评级需降置信度；长期ROE达到行业优秀线；ROE稳定性较好；近5年无亏损；近5年经营现金流持续为正；自由现金流整体为正；资产负债率符合行业语境；营收增长达到行业较好水平,规则质量评级与AI评级一致；但数据年数少于5年，长期ROE、波动和CAGR应按短历史估计降置信度
NVMI,US,Nova Ltd. - Ordinary Shares,科技,优质池,78.0,93.4,93.4,核心优质池,是,是,否,否,短历史封顶生效,优质候选,100,优质候选,4,C 短历史,Medium,80,短历史封顶,数据质量中等，质量评级需降置信度；长期ROE达到行业优秀线；ROE稳定性较好；近5年无亏损；近5年经营现金流持续为正；自由现金流整体为正；资产负债率符合行业语境；营收增长达到行业较好水平,规则质量评级与AI评级一致；但数据年数少于5年，长期ROE、波动和CAGR应按短历史估计降置信度
REGN,US,"Regeneron Pharmaceuticals, Inc. - Common Stock",科技,优质池,78.0,93.4,93.4,核心优质池,是,是,否,否,短历史封顶生效,优质候选,100,优质候选,4,C 短历史,Medium,80,短历史封顶,数据质量中等，质量评级需降置信度；长期ROE达到行业优秀线；ROE稳定性较好；近5年无亏损；近5年经营现金流持续为正；自由现金流整体为正；资产负债率符合行业语境；营收增长处于可接受区间,规则质量评级与AI评级一致；但数据年数少于5年，长期ROE、波动和CAGR应按短历史估计降置信度
SUNB,US,"Sunbelt Rentals Holdings, Inc. Common Stock",通用,优质池,78.0,93.4,93.4,核心优质池,是,是,否,否,短历史封顶生效,优质候选,100,优质候选,4,C 短历史,Medium,80,短历史封顶,数据质量中等，质量评级需降置信度；长期ROE达到行业优秀线；ROE稳定性较好；近5年无亏损；近5年经营现金流持续为正；自由现金流整体为正；资产负债率符合行业语境；营收增长达到行业较好水平,规则质量评级与AI评级一致；但数据年数少于5年，长期ROE、波动和CAGR应按短历史估计降置信度
BWLP,US,BW LPG Limited Common Shares,周期,优质池,78.0,93.3,93.3,核心优质池,是,是,否,否,短历史封顶生效,优质候选,100,优质候选,4,C 短历史,Medium,80,短历史封顶,数据质量中等，质量评级需降置信度；长期ROE达到行业优秀线；ROE稳定性较好；近5年无亏损；近5年经营现金流持续为正；自由现金流整体为正；资产负债率符合行业语境；营收增长达到行业较好水平,规则质量评级与AI评级一致；但数据年数少于5年，长期ROE、波动和CAGR应按短历史估计降置信度
WHD,US,"Cactus, Inc. Class A Common Stock",周期,优质池,78.0,93.3,93.3,核心优质池,是,是,否,否,短历史封顶生效,优质候选,100,优质候选,4,C 短历史,Medium,80,短历史封顶,数据质量中等，质量评级需降置信度；长期ROE达到行业优秀线；ROE稳定性较好；近5年无亏损；近5年经营现金流持续为正；自由现金流整体为正；资产负债率符合行业语境；营收增长达到行业较好水平,规则质量评级与AI评级一致；但数据年数少于5年，长期ROE、波动和CAGR应按短历史估计降置信度
CPA,US,"Copa Holdings, S.A. Class A Common Stock",通用,优质池,78.0,93.2,93.2,核心优质池,是,是,否,否,短历史封顶生效,优质候选,100,优质候选,4,C 短历史,Medium,80,短历史封顶,数据质量中等，质量评级需降置信度；长期ROE达到行业优秀线；ROE稳定性较好；近5年无亏损；近5年经营现金流持续为正；自由现金流整体为正；资产负债率符合行业语境；营收增长达到行业较好水平,规则质量评级与AI评级一致；但数据年数少于5年，长期ROE、波动和CAGR应按短历史估计降置信度
ISSC,US,"Innovative Solutions and Support, Inc. - Common Stock",通用,优质池,78.0,93.2,93.2,核心优质池,是,是,否,否,短历史封顶生效,优质候选,100,优质候选,4,C 短历史,Medium,80,短历史封顶,数据质量中等，质量评级需降置信度；长期ROE达到行业优秀线；ROE稳定性较好；近5年无亏损；近5年经营现金流持续为正；自由现金流整体为正；资产负债率符合行业语境；营收增长达到行业较好水平,规则质量评级与AI评级一致；但数据年数少于5年，长期ROE、波动和CAGR应按短历史估计降置信度
LGCY,US,Legacy Education Inc. Common Stock,通用,优质池,78.0,93.2,93.2,核心优质池,是,是,否,否,短历史封顶生效,优质候选,100,优质候选,4,C 短历史,Medium,80,短历史封顶,数据质量中等，质量评级需降置信度；长期ROE达到行业优秀线；ROE稳定性较好；近5年无亏损；近5年经营现金流持续为正；自由现金流整体为正；资产负债率符合行业语境；营收增长达到行业较好水平,规则质量评级与AI评级一致；但数据年数少于5年，长期ROE、波动和CAGR应按短历史估计降置信度
LULU,US,lululemon athletica inc. - Common Stock,消费,优质池,78.0,93.2,93.2,核心优质池,是,是,否,否,短历史封顶生效,优质候选,100,优质候选,4,C 短历史,Medium,80,短历史封顶,数据质量中等，质量评级需降置信度；长期ROE达到行业优秀线；ROE稳定性较好；近5年无亏损；近5年经营现金流持续为正；自由现金流整体为正；资产负债率符合行业语境；营收增长达到行业较好水平,规则质量评级与AI评级一致；但数据年数少于5年，长期ROE、波动和CAGR应按短历史估计降置信度
MGRC,US,McGrath RentCorp - Common Stock,通用,优质池,78.0,93.2,93.2,核心优质池,是,是,否,否,短历史封顶生效,优质候选,100,优质候选,4,C 短历史,Medium,80,短历史封顶,数据质量中等，质量评级需降置信度；长期ROE达到行业优秀线；ROE稳定性较好；近5年无亏损；近5年经营现金流持续为正；自由现金流整体为正；资产负债率符合行业语境；营收增长达到行业较好水平,规则质量评级与AI评级一致；但数据年数少于5年，长期ROE、波动和CAGR应按短历史估计降置信度
RIO,US,Rio Tinto Plc Common Stock,周期,优质池,78.0,93.2,93.2,核心优质池,是,是,否,否,短历史封顶生效,优质候选,100,优质候选,4,C 短历史,Medium,80,短历史封顶,数据质量中等，质量评级需降置信度；长期ROE达到行业优秀线；ROE稳定性较好；近5年无亏损；近5年经营现金流持续为正；自由现金流整体为正；资产负债率符合行业语境；营收增长处于可接受区间,规则质量评级与AI评级一致；但数据年数少于5年，长期ROE、波动和CAGR应按短历史估计降置信度
TGLS,US,Tecnoglass Inc. Ordinary Shares,周期,优质池,78.0,93.2,93.2,核心优质池,是,是,否,否,短历史封顶生效,优质候选,100,优质候选,4,C 短历史,Medium,80,短历史封顶,数据质量中等，质量评级需降置信度；长期ROE达到行业优秀线；ROE稳定性较好；近5年无亏损；近5年经营现金流持续为正；自由现金流整体为正；资产负债率符合行业语境；营收增长达到行业较好水平,规则质量评级与AI评级一致；但数据年数少于5年，长期ROE、波动和CAGR应按短历史估计降置信度
DAC,US,Danaos Corporation Common Stock,周期,优质池,78.0,93.1,93.1,核心优质池,是,是,否,否,短历史封顶生效,优质候选,100,优质候选,4,C 短历史,Medium,80,短历史封顶,数据质量中等，质量评级需降置信度；长期ROE达到行业优秀线；ROE稳定性较好；近5年无亏损；近5年经营现金流持续为正；自由现金流整体为正；资产负债率符合行业语境；营收增长处于可接受区间,规则质量评级与AI评级一致；但数据年数少于5年，长期ROE、波动和CAGR应按短历史估计降置信度
EXP,US,Eagle Materials Inc Common Stock,周期,优质池,78.0,93.1,93.1,核心优质池,是,是,否,否,短历史封顶生效,优质候选,100,优质候选,4,C 短历史,Medium,80,短历史封顶,数据质量中等，质量评级需降置信度；长期ROE达到行业优秀线；ROE稳定性较好；近5年无亏损；近5年经营现金流持续为正；自由现金流整体为正；资产负债率符合行业语境；营收增长达到行业较好水平,规则质量评级与AI评级一致；但数据年数少于5年，长期ROE、波动和CAGR应按短历史估计降置信度
FN,US,Fabrinet Ordinary Shares,科技,优质池,78.0,92.9,92.9,核心优质池,是,是,否,否,短历史封顶生效,优质候选,100,优质候选,4,C 短历史,Medium,80,短历史封顶,数据质量中等，质量评级需降置信度；长期ROE达到行业优秀线；ROE稳定性较好；近5年无亏损；近5年经营现金流持续为正；自由现金流整体为正；资产负债率符合行业语境；营收增长达到行业较好水平,规则质量评级与AI评级一致；但数据年数少于5年，长期ROE、波动和CAGR应按短历史估计降置信度
HLNE,US,Hamilton Lane Incorporated - Class A Common Stock,通用,优质池,78.0,92.9,92.9,核心优质池,是,是,否,否,短历史封顶生效,优质候选,100,优质候选,4,C 短历史,Medium,80,短历史封顶,数据质量中等，质量评级需降置信度；长期ROE达到行业优秀线；ROE稳定性较好；近5年无亏损；近5年经营现金流持续为正；自由现金流整体为正；资产负债率符合行业语境；营收增长达到行业较好水平,规则质量评级与AI评级一致；但数据年数少于5年，长期ROE、波动和CAGR应按短历史估计降置信度
JBSS,US,"John B. Sanfilippo & Son, Inc. - Common Stock",消费,优质池,78.0,92.9,92.9,核心优质池,是,是,否,否,短历史封顶生效,优质候选,100,优质候选,4,C 短历史,Medium,80,短历史封顶,数据质量中等，质量评级需降置信度；长期ROE达到行业优秀线；ROE稳定性较好；近5年无亏损；近5年经营现金流持续为正；自由现金流整体为正；资产负债率符合行业语境；营收增长达到行业较好水平,规则质量评级与AI评级一致；但数据年数少于5年，长期ROE、波动和CAGR应按短历史估计降置信度
PNRG,US,PrimeEnergy Resources Corporation - Common Stock,周期,优质池,78.0,92.9,92.9,核心优质池,是,是,否,否,短历史封顶生效,优质候选,100,优质候选,4,C 短历史,Medium,80,短历史封顶,数据质量中等，质量评级需降置信度；长期ROE达到行业优秀线；ROE稳定性较好；近5年无亏损；近5年经营现金流持续为正；自由现金流整体为正；资产负债率符合行业语境；营收增长达到行业较好水平,规则质量评级与AI评级一致；但数据年数少于5年，长期ROE、波动和CAGR应按短历史估计降置信度
TROW,US,"T. Rowe Price Group, Inc. - Common Stock",通用,优质池,78.0,92.9,92.9,核心优质池,是,是,否,否,短历史封顶生效,优质候选,100,优质候选,4,C 短历史,Medium,80,短历史封顶,数据质量中等，质量评级需降置信度；长期ROE达到行业优秀线；ROE稳定性较好；近5年无亏损；近5年经营现金流持续为正；自由现金流整体为正；资产负债率符合行业语境；营收增长达到行业较好水平,规则质量评级与AI评级一致；但数据年数少于5年，长期ROE、波动和CAGR应按短历史估计降置信度
TXRH,US,"Texas Roadhouse, Inc. - Common Stock",通用,优质池,78.0,92.9,92.9,核心优质池,是,是,否,否,短历史封顶生效,优质候选,100,优质候选,4,C 短历史,Medium,80,短历史封顶,数据质量中等，质量评级需降置信度；长期ROE达到行业优秀线；ROE稳定性较好；近5年无亏损；近5年经营现金流持续为正；自由现金流整体为正；资产负债率符合行业语境；营收增长达到行业较好水平,规则质量评级与AI评级一致；但数据年数少于5年，长期ROE、波动和CAGR应按短历史估计降置信度
CORT,US,Corcept Therapeutics Incorporated - Common Stock,科技,优质池,78.0,92.8,92.8,核心优质池,是,是,否,否,短历史封顶生效,优质候选,100,优质候选,4,C 短历史,Medium,80,短历史封顶,数据质量中等，质量评级需降置信度；长期ROE达到行业优秀线；ROE稳定性较好；近5年无亏损；近5年经营现金流持续为正；自由现金流整体为正；资产负债率符合行业语境；营收增长达到行业较好水平,规则质量评级与AI评级一致；但数据年数少于5年，长期ROE、波动和CAGR应按短历史估计降置信度
PHM,US,"PulteGroup, Inc. Common Stock",周期,优质池,78.0,92.8,92.8,核心优质池,是,是,否,否,短历史封顶生效,优质候选,100,优质候选,4,C 短历史,Medium,80,短历史封顶,数据质量中等，质量评级需降置信度；长期ROE达到行业优秀线；ROE稳定性较好；近5年无亏损；近5年经营现金流持续为正；自由现金流整体为正；资产负债率符合行业语境；营收增长处于可接受区间,规则质量评级与AI评级一致；但数据年数少于5年，长期ROE、波动和CAGR应按短历史估计降置信度
RACE,US,Ferrari N.V. Common Shares,通用,优质池,78.0,92.8,92.8,核心优质池,是,是,否,否,短历史封顶生效,优质候选,100,优质候选,4,C 短历史,Medium,80,短历史封顶,数据质量中等，质量评级需降置信度；长期ROE达到行业优秀线；ROE稳定性较好；近5年无亏损；近5年经营现金流持续为正；自由现金流整体为正；资产负债率符合行业语境；营收增长达到行业较好水平,规则质量评级与AI评级一致；但数据年数少于5年，长期ROE、波动和CAGR应按短历史估计降置信度
REPX,US,"Riley Exploration Permian, Inc. Common Stock",周期,优质池,78.0,92.8,92.8,核心优质池,是,是,否,否,短历史封顶生效,优质候选,100,优质候选,4,C 短历史,Medium,80,短历史封顶,数据质量中等，质量评级需降置信度；长期ROE达到行业优秀线；ROE稳定性较好；近5年无亏损；近5年经营现金流持续为正；自由现金流整体为正；资产负债率符合行业语境；营收增长达到行业较好水平,规则质量评级与AI评级一致；但数据年数少于5年，长期ROE、波动和CAGR应按短历史估计降置信度
V,US,Visa Inc.,通用,优质池,78.0,92.8,92.8,核心优质池,是,是,否,否,短历史封顶生效,优质候选,100,优质候选,4,C 短历史,Medium,80,短历史封顶,数据质量中等，质量评级需降置信度；长期ROE达到行业优秀线；ROE稳定性较好；近5年无亏损；近5年经营现金流持续为正；自由现金流整体为正；资产负债率符合行业语境；营收增长达到行业较好水平,规则质量评级与AI评级一致；但数据年数少于5年，长期ROE、波动和CAGR应按短历史估计降置信度
AWI,US,Armstrong World Industries Inc Common Stock,通用,优质池,78.0,92.7,92.7,核心优质池,是,是,否,否,短历史封顶生效,优质候选,100,优质候选,4,C 短历史,Medium,80,短历史封顶,数据质量中等，质量评级需降置信度；长期ROE达到行业优秀线；ROE稳定性较好；近5年无亏损；近5年经营现金流持续为正；自由现金流整体为正；资产负债率符合行业语境；营收增长达到行业较好水平,规则质量评级与AI评级一致；但数据年数少于5年，长期ROE、波动和CAGR应按短历史估计降置信度
