股票,市场,名称,行业,行业模型,核心指标,PE,PB,10年ROE,ROE波动,5年平均FCF,资产负债率,商誉占比,利息覆盖倍数,分红稳定性,5年营收CAGR,数据年数,缺失字段数,数据质量分,数据质量,杠杆风险,结果,分数,规则质量评级,规则质量分,质量理由,原因,AI评级,AI置信度,AI理由,AI风险,AI关注点,AI模型,规则AI分歧,综合观察
000019,CN,深粮控股,-,通用,ROE、现金流、资产负债率,-,-,8.1%,1.5%,-,32.3%,-,-,未分红/不适用,-14.2%,10,10,100,High,未知,警惕,85,谨慎观察,53,数据质量高；长期ROE达到行业基本线；ROE稳定性较好；近5年无亏损；经营现金流存在瑕疵；自由现金流数据缺失，评级保守；资产负债率符合行业语境；营收增长偏弱,近5年营收增长偏弱,谨慎观察,Medium,ROE长期偏低（8.1%），营收持续下滑（5年CAGR -14.2%），自由现金流数据缺失，且近5年有一次经营现金流为负。虽然负债率低（32.3%），但增长和盈利质量存疑。,营收持续萎缩可能反映行业或公司竞争力下降；自由现金流不明，分红缺失，股东回报不足；净利润波动虽小，但低增长下可持续性待验证。,关注营收下滑趋势是否企稳；未来自由现金流能否转正；管理层是否有转型或改善盈利的计划；行业前景及公司市场份额变化。,deepseek-chat,否,规则质量评级与AI评级一致
000020,CN,深华发Ａ,-,通用,ROE、现金流、资产负债率,-,-,6.3%,8.8%,-,39.0%,-,-,未分红/不适用,2.9%,10,10,100,High,未知,警惕,85,谨慎观察,45,数据质量高；长期ROE低于行业基本线；ROE稳定性较好；近5年无亏损；经营现金流存在瑕疵；自由现金流数据缺失，评级保守；资产负债率符合行业语境；营收增长处于可接受区间,10年净利润波动较大,谨慎观察,Medium,ROE仅6.3%，且波动较大（8.8%），盈利能力较弱；近5年营收CAGR仅2.9%，增长缓慢；自由现金流数据缺失，且经营现金流有一次为负，现金流质量存疑。资产负债率39%尚可，但无分红记录。整体财务质量一般，需更多数据验证。,盈利能力弱且波动大，增长停滞，现金流不稳定，无分红记录。缺乏商誉和利息覆盖倍数数据，可能隐藏风险。,关注未来ROE能否提升、营收增长是否加速、自由现金流是否转正、分红政策变化。,deepseek-chat,否,规则质量评级与AI评级一致
000021,CN,深科技,-,科技,营收增长、自由现金流、研发投入效率,-,-,7.8%,2.3%,-,39.0%,-,-,未分红/不适用,-1.1%,10,10,100,High,未知,警惕,85,可跟踪,73,数据质量高；长期ROE达到行业基本线；ROE稳定性较好；近5年无亏损；近5年经营现金流持续为正；自由现金流数据缺失，评级保守；资产负债率符合行业语境；营收增长偏弱,科技公司营收增长转负,谨慎观察,Medium,10年ROE仅7.8%，且波动较小，但营收5年CAGR为-1.1%，显示增长停滞。无分红记录，自由现金流数据缺失。资产负债率39%尚可，但缺乏利息覆盖倍数和商誉数据。净利润和经营现金流近5年均为正，稳定性尚可。整体财务质量一般，增长乏力，需更多数据验证。,营收持续负增长，可能面临行业或竞争压力；无分红记录，股东回报不足；自由现金流数据缺失，无法评估现金流质量；ROE偏低，资本回报效率不高。,关注营收能否恢复增长；获取自由现金流数据；观察ROE趋势是否改善；了解行业前景及公司竞争力变化。,deepseek-chat,轻微,规则和AI评级不完全一致，可作为人工复核优先项
000025,CN,特  力Ａ,-,通用,ROE、现金流、资产负债率,-,-,8.1%,4.3%,-,24.7%,-,-,未分红/不适用,30.2%,10,10,100,High,未知,通过,100,可跟踪,69,数据质量高；长期ROE达到行业基本线；ROE稳定性较好；近5年无亏损；经营现金流存在瑕疵；自由现金流数据缺失，评级保守；资产负债率符合行业语境；营收增长达到行业较好水平,-,可跟踪,Medium,10年ROE均值8.1%，波动4.3%，盈利能力一般但稳定；近5年无亏损，营收CAGR高达30.2%，增长强劲；资产负债率24.7%较低，财务风险小。但近5年有2年经营现金流为负，且未分红，现金流和股东回报存在隐忧。,经营现金流不稳定，近5年2次为负，可能影响持续经营；未分红，缺乏股东回报；净利润波动系数0.51，盈利稳定性中等。,关注经营现金流能否持续为正；营收高增长是否可持续；未来是否开始分红或回购。,deepseek-chat,否,规则质量评级与AI评级一致
000026,CN,飞亚达,-,通用,ROE、现金流、资产负债率,-,-,7.8%,3.2%,-,10.6%,-,-,未分红/不适用,-9.6%,10,10,100,High,未知,警惕,85,可跟踪,73,数据质量高；长期ROE达到行业基本线；ROE稳定性较好；近5年无亏损；近5年经营现金流持续为正；自由现金流数据缺失，评级保守；资产负债率符合行业语境；营收增长偏弱,近5年营收增长偏弱,谨慎观察,Medium,公司10年ROE仅7.8%，且波动较大（3.2%），净利润波动系数0.44，显示盈利不稳定。近5年营收CAGR为-9.6%，收入持续下滑。虽然无亏损且OCF为正，但缺乏增长动力。资产负债率低（10.6%），财务风险小，但整体质量一般。,营收持续下滑，可能面临行业竞争或需求萎缩；ROE偏低且波动，盈利能力不稳定；未分红，股东回报不足。,关注营收下滑趋势是否改善；观察ROE能否提升至10%以上；跟踪现金流是否持续为正；留意公司是否有新增长点或转型计划。,deepseek-chat,轻微,规则和AI评级不完全一致，可作为人工复核优先项
000027,CN,深圳能源,-,通用,ROE、现金流、资产负债率,-,-,6.0%,3.3%,-,62.0%,-,-,未分红/不适用,7.7%,10,10,100,High,未知,通过,100,可跟踪,71,数据质量高；长期ROE低于行业基本线；ROE稳定性较好；近5年无亏损；近5年经营现金流持续为正；自由现金流数据缺失，评级保守；资产负债率符合行业语境；营收增长达到行业较好水平,-,可跟踪,Medium,10年ROE均值6.0%偏低，但波动较小（3.3%），净利润波动低（0.49），近5年无亏损且经营现金流持续为正，显示一定稳定性。营收CAGR 7.7%尚可，但资产负债率62%偏高，且缺乏FCF和利息覆盖数据，分红不适用。整体财务质量一般，无明显硬伤但不够突出。,资产负债率62%偏高，可能增加财务风险；缺乏自由现金流和利息覆盖倍数数据，无法评估偿债能力；ROE仅6%，资本回报效率较低；未分红可能影响投资者回报。,关注未来自由现金流趋势、利息覆盖倍数变化、资产负债率是否改善；观察ROE能否提升至10%以上；跟踪营收增长可持续性及行业竞争格局。,deepseek-chat,否,规则质量评级与AI评级一致
000028,CN,国药一致,-,通用,ROE、现金流、资产负债率,-,-,9.8%,3.1%,-,56.0%,-,-,未分红/不适用,1.8%,10,10,100,High,未知,通过,100,可跟踪,83,数据质量高；长期ROE达到行业基本线；ROE稳定性较好；近5年无亏损；近5年经营现金流持续为正；自由现金流数据缺失，评级保守；资产负债率符合行业语境；营收增长处于可接受区间,-,可跟踪,Medium,公司连续10年盈利且经营现金流持续为正，财务数据质量高。但ROE仅9.8%且波动较大，营收增长缓慢（5年CAGR 1.8%），成长性不足。资产负债率56%适中，但缺乏分红记录。整体财务稳健但缺乏亮点。,营收增长乏力，可能面临行业天花板或竞争加剧；ROE偏低且波动，资本回报效率不高；无分红记录，股东回报不明确。,关注未来营收增长驱动因素（如新业务或市场扩张）；ROE能否提升至15%以上；是否开始分红或回购以提升股东价值。,deepseek-chat,否,规则质量评级与AI评级一致
000029,CN,深深房Ａ,-,通用,ROE、现金流、资产负债率,-,-,6.0%,7.8%,-,10.6%,-,-,未分红/不适用,2.9%,10,10,100,High,未知,警惕,85,排除,0,数据质量高；长期ROE低于行业基本线；ROE稳定性较好；净利润波动偏大；近5年出现亏损；经营现金流多次为负；自由现金流数据缺失，评级保守；资产负债率符合行业语境；营收增长处于可接受区间,10年净利润波动较大,谨慎观察,Medium,公司ROE较低（6.0%），波动较大（7.8%），近5年有2年亏损，且经营现金流4年为负，自由现金流为负，显示盈利质量和现金流状况不佳。但资产负债率极低（10.6%），财务风险小。营收增长缓慢（CAGR 2.9%），缺乏分红记录。整体财务质量较弱，需更多数据验证。,盈利不稳定，近5年亏损2次；经营现金流持续为负，自由现金流为负，可能影响持续经营能力；营收增长缓慢，缺乏成长性；无分红记录，股东回报不足。,关注未来盈利能否改善，经营现金流能否转正；营收增长是否有加速迹象；管理层是否有改善经营的计划；行业前景及公司竞争力变化。,deepseek-chat,轻微,规则和AI评级不完全一致，可作为人工复核优先项
000030,CN,富奥股份,-,通用,ROE、现金流、资产负债率,-,-,11.4%,3.1%,-,49.3%,-,-,未分红/不适用,7.9%,10,10,100,High,未知,通过,100,优质候选,89,数据质量高；长期ROE达到行业基本线；ROE稳定性较好；近5年无亏损；近5年经营现金流持续为正；自由现金流数据缺失，评级保守；资产负债率符合行业语境；营收增长达到行业较好水平,-,可跟踪,Medium,10年ROE均值11.4%，波动较小，净利润和经营现金流近5年均为正，显示一定稳定性。但营收CAGR仅7.9%，增长不算突出，且未分红，现金流数据缺失，整体质量中等。,资产负债率49.3%适中，但商誉和利息覆盖倍数未知，需关注债务风险。未分红可能影响投资者回报。增长放缓或行业竞争可能带来压力。,关注未来营收增长趋势、现金流状况、分红政策变化及行业地位。需补充商誉、利息覆盖等数据以评估财务风险。,deepseek-chat,轻微,规则和AI评级不完全一致，可作为人工复核优先项
000031,CN,大悦城,-,通用,ROE、现金流、资产负债率,-,-,3.6%,24.6%,-,77.3%,-,-,未分红/不适用,-7.7%,10,10,100,High,未知,排除,0,排除,20,规则排雷已判定存在硬伤,10年内亏损年份过多；10年ROE波动较大；10年净利润波动较大；长期ROE低于5%；资产负债率偏高；近5年营收增长偏弱,排除,High,近10年ROE均值仅3.6%，且波动高达24.6%，盈利极不稳定；近5年亏损4次，营收CAGR为-7.7%，持续下滑；资产负债率77.3%偏高，未分红，现金流数据缺失，整体财务质量较弱。,高负债率（77.3%）增加财务风险；连续亏损及营收负增长表明经营困境；未分红可能反映现金流紧张或盈利不足。,需关注未来能否扭亏为盈、负债率是否下降、现金流是否改善，以及行业景气度变化。,deepseek-chat,否,规则质量评级与AI评级一致
000032,CN,深桑达Ａ,-,通用,ROE、现金流、资产负债率,-,-,4.5%,4.2%,-,81.7%,-,-,未分红/不适用,2.7%,10,10,100,High,未知,排除,30,排除,20,规则排雷已判定存在硬伤,10年净利润波动较大；长期ROE低于5%；资产负债率偏高,谨慎观察,Medium,ROE长期偏低（10年均值4.5%），且波动较大（4.2%）；近5年有2年亏损、2年经营现金流为负，盈利稳定性差；资产负债率高达81.7%，财务杠杆风险较高；未分红，股东回报不足。营收增长缓慢（5年CAGR 2.7%），成长性有限。,高负债率（81.7%）带来偿债风险；盈利波动大，近5年多次亏损和负现金流；无分红记录，缺乏股东回报；营收增长停滞，行业竞争或经营策略可能存在问题。,关注未来能否改善盈利稳定性、降低负债率、产生正自由现金流；观察营收增长是否提速；需更多数据验证商誉及利息覆盖情况。,deepseek-chat,轻微,规则和AI评级不完全一致，可作为人工复核优先项
000034,CN,神州数码,-,通用,ROE、现金流、资产负债率,-,-,13.2%,6.0%,-,79.4%,-,-,未分红/不适用,4.1%,10,10,100,High,未知,警惕,85,谨慎观察,50,数据质量高；长期ROE达到行业优秀线；ROE稳定性较好；近5年无亏损；经营现金流多次为负；自由现金流数据缺失，评级保守；资产负债率高于行业舒适区；营收增长达到行业较好水平,资产负债率偏高,谨慎观察,Medium,ROE 13.2%尚可，但波动较大（6%），且近5年有3年经营现金流为负，资产负债率高达79.4%，财务杠杆风险较高。营收增长缓慢（CAGR 4.1%），未分红，整体质量不够突出。,高资产负债率（79.4%）带来偿债压力；经营现金流多次为负，盈利质量存疑；无分红记录，股东回报不足。,关注未来经营现金流能否持续为正；负债率变化趋势；营收增长能否提速；是否有分红计划。,deepseek-chat,否,规则质量评级与AI评级一致
000035,CN,中国天楹,-,通用,ROE、现金流、资产负债率,-,-,5.6%,3.1%,-,65.4%,-,-,未分红/不适用,-28.8%,10,10,100,High,未知,排除,60,排除,20,规则排雷已判定存在硬伤,近5年营收明显下滑,谨慎观察,Medium,公司10年ROE仅5.6%，且波动较大（3.1%），盈利能力较弱。近5年营收CAGR为-28.8%，显示业务萎缩。资产负债率65.4%偏高，财务杠杆风险较大。虽无亏损和负OCF，但整体财务质量一般，需关注业务转型或改善迹象。,营收持续下滑，业务萎缩风险；高资产负债率（65.4%）带来偿债压力；ROE低且波动，股东回报不稳定；未分红，缺乏现金流回报。,关注营收下滑趋势是否扭转；资产负债率变化及现金流改善情况；是否有新业务或资产重组计划；管理层对盈利能力的提升措施。,deepseek-chat,轻微,规则和AI评级不完全一致，可作为人工复核优先项
000036,CN,华联控股,-,通用,ROE、现金流、资产负债率,-,-,22.9%,24.8%,-,24.2%,-,-,未分红/不适用,-24.2%,10,10,100,High,未知,排除,30,排除,20,规则排雷已判定存在硬伤,10年ROE波动较大；10年净利润波动较大；近5年营收明显下滑,谨慎观察,Medium,10年ROE高达22.9%，但波动较大（24.8%），且近5年营收CAGR为-24.2%，显示增长乏力。近5年经营现金流为负次数达3次，现金流质量存疑。资产负债率低（24.2%），财务风险较小，但未分红，股东回报不足。,营收持续下滑，增长前景不明；经营现金流多次为负，盈利质量需验证；未分红可能反映现金流紧张或再投资需求。,关注营收下滑趋势是否改善；经营现金流能否转正；公司未来资本配置计划及分红政策变化。,deepseek-chat,轻微,规则和AI评级不完全一致，可作为人工复核优先项
000037,CN,深南电A,-,通用,ROE、现金流、资产负债率,-,-,-0.9%,33.3%,-,23.2%,-,-,未分红/不适用,-14.7%,10,10,100,High,未知,排除,15,排除,20,规则排雷已判定存在硬伤,10年ROE波动较大；10年净利润波动较大；长期ROE低于5%；近5年营收增长偏弱,排除,High,10年ROE为-0.9%，且波动极大（33.3%），近5年亏损2次，经营现金流为负4次，营收持续下滑（CAGR -14.7%），盈利能力极差且不稳定。,持续亏损、经营现金流为负、营收萎缩，公司基本面恶化，缺乏可持续盈利能力。,关注公司是否有重大资产重组或业务转型，否则无研究价值。,deepseek-chat,否,规则质量评级与AI评级一致
000039,CN,中集集团,-,通用,ROE、现金流、资产负债率,-,-,19.5%,29.3%,-,59.9%,-,-,未分红/不适用,-1.1%,10,10,100,High,未知,警惕,85,可跟踪,73,数据质量高；长期ROE达到行业优秀线；ROE波动偏大；近5年无亏损；近5年经营现金流持续为正；自由现金流数据缺失，评级保守；资产负债率符合行业语境；营收增长偏弱,10年ROE波动较大,谨慎观察,Medium,10年ROE均值19.5%较高，但波动大（29.3%），净利润波动0.80，显示盈利不稳定。近5年无亏损且OCF为正，但营收负增长（-1.1%），且未分红。资产负债率59.9%适中，但缺乏现金流和利息覆盖数据。,ROE波动大，盈利稳定性差；营收持续下滑，成长性不足；未分红可能影响股东回报；缺乏自由现金流和利息覆盖数据，财务健康度评估受限。,关注未来营收能否止跌回升；ROE波动是否收敛；自由现金流和利息覆盖倍数数据；分红政策变化。,deepseek-chat,轻微,规则和AI评级不完全一致，可作为人工复核优先项
000042,CN,中洲控股,-,通用,ROE、现金流、资产负债率,-,-,3.3%,39.1%,-,94.5%,-,-,未分红/不适用,-26.1%,10,10,100,High,未知,排除,0,排除,20,规则排雷已判定存在硬伤,10年内亏损年份过多；10年ROE波动较大；10年净利润波动较大；长期ROE低于5%；资产负债率过高；近5年营收明显下滑,排除,High,公司近10年ROE仅3.3%，且波动极大（39.1%），近5年亏损3次，营收持续下滑（CAGR -26.1%），资产负债率高达94.5%，财务质量明显较弱，风险较高。,高负债率（94.5%）带来偿债风险；持续亏损和营收下滑表明经营恶化；ROE极低且波动大，股东回报差。,关注公司能否扭亏为盈、降低负债率、改善营收增长；需更多数据验证其持续经营能力。,deepseek-chat,否,规则质量评级与AI评级一致
000045,CN,深纺织Ａ,-,通用,ROE、现金流、资产负债率,-,-,-0.9%,40.7%,-,20.8%,-,-,未分红/不适用,8.6%,10,10,100,High,未知,排除,30,排除,20,规则排雷已判定存在硬伤,10年ROE波动较大；10年净利润波动较大；长期ROE低于5%,谨慎观察,Medium,10年ROE为负（-0.9%），波动大（40.7%），盈利质量差；近5年无亏损但OCF有一次为负，自由现金流数据缺失；资产负债率低（20.8%）是亮点，但分红不适用，成长性一般（营收CAGR 8.6%）。整体财务质量较弱，需更多数据验证。,长期盈利能力差（ROE为负），盈利波动大；自由现金流情况不明，可能影响持续经营；行业地位和竞争优势不明确。,关注未来ROE能否转正并稳定；自由现金流趋势；营收增长可持续性；管理层改善盈利能力的措施。,deepseek-chat,轻微,规则和AI评级不完全一致，可作为人工复核优先项
000048,CN,京基智农,-,通用,ROE、现金流、资产负债率,-,-,34.2%,32.4%,-,59.0%,-,-,未分红/不适用,10.9%,10,10,100,High,未知,警惕,70,可跟踪,69,数据质量高；长期ROE达到行业优秀线；ROE波动偏大；近5年无亏损；经营现金流存在瑕疵；自由现金流数据缺失，评级保守；资产负债率符合行业语境；营收增长达到行业较好水平,10年ROE波动较大；10年净利润波动较大,谨慎观察,Medium,10年ROE均值34.2%看似优秀，但波动极大（32.4%），净利润波动系数0.94，显示盈利极不稳定。近5年无亏损，但OCF有一次为负，现金流质量存疑。资产负债率59%适中，但缺乏利息覆盖和商誉数据。营收增长10.9%尚可，但未分红，股东回报不足。整体财务质量波动大，需更多数据验证可持续性。,盈利波动剧烈，ROE标准差高达32.4%，净利润波动系数接近1，表明业绩高度不稳定。现金流曾为负，可能影响运营。未分红，缺乏股东回报。缺乏利息覆盖倍数和商誉数据，无法评估债务风险和商誉减值风险。,关注盈利稳定性和现金流持续性，需获取更多年份数据验证ROE高均值是否可持续。跟踪营收增长来源及利润率变化。补充利息覆盖倍数和商誉数据以评估财务风险。观察未来分红政策变化。,deepseek-chat,轻微,规则和AI评级不完全一致，可作为人工复核优先项
000049,CN,德赛电池,-,通用,ROE、现金流、资产负债率,-,-,19.9%,8.6%,-,60.6%,-,-,未分红/不适用,3.6%,10,10,100,High,未知,通过,100,优质候选,100,数据质量高；长期ROE达到行业优秀线；ROE稳定性较好；近5年无亏损；近5年经营现金流持续为正；自由现金流数据缺失，评级保守；资产负债率符合行业语境；营收增长达到行业较好水平,-,可跟踪,Medium,10年ROE均值19.9%较高，但波动8.6%偏大；净利润波动0.42较小，近5年无亏损且经营现金流持续为正，显示盈利稳定。但营收增长缓慢（5年CAGR仅3.6%），且资产负债率60.6%偏高，未分红。整体财务质量尚可，但增长动力不足。,资产负债率60.6%偏高，财务杠杆风险；营收增长缓慢，可能面临行业天花板；未分红，股东回报不足。,关注营收增长能否提速；资产负债率变化趋势；未来分红政策是否改善；行业竞争格局及新业务拓展情况。,deepseek-chat,轻微,规则和AI评级不完全一致，可作为人工复核优先项
000050,CN,深天马Ａ,-,通用,ROE、现金流、资产负债率,-,-,10.0%,22.1%,-,61.6%,-,-,未分红/不适用,1.8%,10,10,100,High,未知,排除,30,排除,20,规则排雷已判定存在硬伤,10年内亏损年份过多；10年ROE波动较大；10年净利润波动较大,谨慎观察,Medium,ROE仅10%且波动大（22.1%），近5年3次亏损，净利润波动剧烈（4.35），营收增长缓慢（CAGR 1.8%），资产负债率61.6%偏高，未分红。现金流虽未负但自由现金流数据缺失，整体财务质量一般，风险较多。,盈利能力不稳定，多次亏损；高负债率增加财务风险；营收增长停滞；无分红记录，股东回报不足；自由现金流情况不明，可能影响持续经营。,关注未来盈利能力能否改善，负债率变化，自由现金流转正情况，以及行业景气度是否回升。,deepseek-chat,轻微,规则和AI评级不完全一致，可作为人工复核优先项
