综合优质分,优质池等级,入选来源,优质排序理由,风险扣分,股票,市场,名称,行业,行业模型,核心指标,PE,PB,10年ROE,ROE波动,5年平均FCF,资产负债率,商誉占比,利息覆盖倍数,分红稳定性,5年营收CAGR,数据年数,缺失字段数,数据质量分,数据质量,杠杆风险,结果,分数,规则质量评级,规则质量分,质量理由,原因,AI评级,AI置信度,AI理由,AI风险,AI关注点,AI模型,规则AI分歧,综合观察
95.3,核心优质池,规则通过；规则质量优质候选；AI优质候选,规则质量100；ROE18.8%；ROE波动4.3%；数据质量High；AI优质候选；PE7.48；PB2.02,-,002832,CN,比音勒芬,-,通用,ROE、现金流、资产负债率,7.48,2.02,18.8%,4.3%,-,29.6%,-,-,未分红/不适用,12.2%,10,10,100,High,未知,通过,100,优质候选,100,数据质量高；长期ROE达到行业优秀线；ROE稳定性较好；近5年无亏损；近5年经营现金流持续为正；自由现金流数据缺失，评级保守；资产负债率符合行业语境；营收增长达到行业较好水平,-,优质候选,High,10年ROE均值18.8%且波动仅4.3%，净利润波动0.51，近5年无亏损且经营现金流持续为正，资产负债率29.6%较低，营收5年CAGR 12.2%，财务质量稳定且增长良好。,未分红可能影响长期股东回报；商誉占比和利息覆盖倍数数据缺失，需关注潜在负债或并购风险；行业属性未明确，需验证可持续性。,关注分红政策变化；补充商誉和利息覆盖数据；跟踪营收增长来源及行业竞争格局。,deepseek-chat,否,规则质量评级与AI评级一致
95.3,核心优质池,规则通过；规则质量优质候选；AI优质候选,规则质量100；ROE16.7%；ROE波动4.7%；数据质量High；AI优质候选；PE19.22；PB1.19,-,002984,CN,森麒麟,-,通用,ROE、现金流、资产负债率,19.22,1.19,16.7%,4.7%,-,24.9%,-,-,未分红/不适用,13.6%,10,10,100,High,未知,通过,100,优质候选,100,数据质量高；长期ROE达到行业优秀线；ROE稳定性较好；近5年无亏损；近5年经营现金流持续为正；自由现金流数据缺失，评级保守；资产负债率符合行业语境；营收增长达到行业较好水平,-,优质候选,High,10年ROE均值16.7%，波动仅4.7%，盈利稳定；净利润波动系数0.61，近5年无亏损且经营现金流持续为正；资产负债率24.9%极低，财务风险小；5年营收CAGR 13.6%，增长稳健。整体财务质量优秀，值得优先研究。,未分红可能影响部分投资者偏好；行业竞争及原材料价格波动风险；海外业务占比高，汇率及地缘政治风险需关注。,关注未来分红政策变化；跟踪营收增长可持续性及毛利率趋势；监控海外产能扩张及客户集中度变化。,deepseek-chat,否,规则质量评级与AI评级一致
95.3,核心优质池,规则通过；规则质量优质候选；AI优质候选,规则质量100；ROE22.9%；ROE波动4.9%；数据质量High；AI优质候选；PE144.00；PB6.45,-,301609,CN,山大电力,-,通用,ROE、现金流、资产负债率,144.00,6.45,22.9%,4.9%,-,29.9%,-,-,未分红/不适用,12.9%,9,9,100,High,未知,通过,100,优质候选,100,数据质量高；长期ROE达到行业优秀线；ROE稳定性较好；近5年无亏损；近5年经营现金流持续为正；自由现金流数据缺失，评级保守；资产负债率符合行业语境；营收增长达到行业较好水平,-,优质候选,High,9年数据质量高，ROE长期22.9%且波动仅4.9%，净利润波动低，无亏损和负经营现金流，资产负债率29.9%极低，营收5年CAGR 12.9%稳健增长，财务质量、稳定性和增长均突出。,未分红可能影响收益预期；FCF数据缺失需关注现金流质量；行业属性未明，需验证可持续性。,关注未来分红政策变化；补充自由现金流数据；分析行业竞争格局与增长驱动因素。,deepseek-chat,否,规则质量评级与AI评级一致；数据历史未满10年，长期质量结论仍需补充更长周期验证
95.3,核心优质池,规则通过；规则质量优质候选；AI优质候选,规则质量100；ROE22.6%；ROE波动4.7%；数据质量High；AI优质候选；PE14.54；PB2.25,-,603899,CN,晨光股份,-,通用,ROE、现金流、资产负债率,14.54,2.25,22.6%,4.7%,-,45.4%,-,-,未分红/不适用,9.2%,10,10,100,High,未知,通过,100,优质候选,100,数据质量高；长期ROE达到行业优秀线；ROE稳定性较好；近5年无亏损；近5年经营现金流持续为正；自由现金流数据缺失，评级保守；资产负债率符合行业语境；营收增长达到行业较好水平,-,优质候选,High,10年ROE均值22.6%，波动仅4.7%，盈利能力强且稳定；近5年无亏损、经营现金流从未为负，财务健康；营收CAGR 9.2%，增长稳健。资产负债率45.4%适中，整体质量突出。,未分红可能影响部分投资者偏好；商誉和利息覆盖倍数数据缺失，需关注潜在负债或并购风险；行业竞争加剧可能影响增长持续性。,关注分红政策变化；补充商誉和利息覆盖数据；跟踪营收增长趋势及行业竞争格局。,deepseek-chat,否,规则质量评级与AI评级一致
95.3,核心优质池,规则通过；规则质量优质候选；AI优质候选,规则质量100；ROE15.8%；ROE波动2.9%；数据质量High；AI优质候选；PE21.27；PB1.78,-,605183,CN,确成股份,-,通用,ROE、现金流、资产负债率,21.27,1.78,15.8%,2.9%,-,14.4%,-,-,未分红/不适用,10.2%,10,10,100,High,未知,通过,100,优质候选,100,数据质量高；长期ROE达到行业优秀线；ROE稳定性较好；近5年无亏损；近5年经营现金流持续为正；自由现金流数据缺失，评级保守；资产负债率符合行业语境；营收增长达到行业较好水平,-,优质候选,High,10年ROE均值15.8%且波动仅2.9%，净利润波动系数0.40，近5年无亏损且经营现金流持续为正，资产负债率仅14.4%，财务质量稳健。营收5年CAGR 10.2%，增长稳定。,未分红可能影响部分投资者偏好；行业集中度风险需关注；商誉和利息覆盖倍数数据缺失，但低负债率下风险可控。,关注分红政策变化；跟踪营收增长可持续性；验证现金流与利润匹配度；行业竞争格局。,deepseek-chat,否,规则质量评级与AI评级一致
95.1,核心优质池,规则通过；规则质量优质候选；AI优质候选,规则质量100；ROE17.4%；ROE波动1.8%；数据质量High；AI优质候选；PE16.45；PB2.62,-,002262,CN,恩华药业,-,通用,ROE、现金流、资产负债率,16.45,2.62,17.4%,1.8%,-,13.0%,-,-,未分红/不适用,10.7%,10,10,100,High,未知,通过,100,优质候选,100,数据质量高；长期ROE达到行业优秀线；ROE稳定性较好；近5年无亏损；近5年经营现金流持续为正；自由现金流数据缺失，评级保守；资产负债率符合行业语境；营收增长达到行业较好水平,-,优质候选,High,10年ROE平均17.4%且波动仅1.8%，净利润波动0.38，近5年无亏损且经营现金流持续为正，资产负债率仅13%，财务质量优秀且稳定。营收5年CAGR 10.7%，增长稳健。,未分红可能影响部分投资者偏好；行业竞争及政策风险需关注；自由现金流数据缺失，需进一步验证现金流质量。,关注自由现金流趋势、研发投入及新药审批进展、行业政策变化对盈利的影响。,deepseek-chat,否,规则质量评级与AI评级一致
95.1,核心优质池,规则通过；规则质量优质候选；AI优质候选,规则质量100；ROE17.8%；ROE波动5.0%；数据质量High；AI优质候选；PE23.19；PB3.14,-,002749,CN,国光股份,-,通用,ROE、现金流、资产负债率,23.19,3.14,17.8%,5.0%,-,18.0%,-,-,未分红/不适用,10.9%,10,10,100,High,未知,通过,100,优质候选,100,数据质量高；长期ROE达到行业优秀线；ROE稳定性较好；近5年无亏损；近5年经营现金流持续为正；自由现金流数据缺失，评级保守；资产负债率符合行业语境；营收增长达到行业较好水平,-,优质候选,High,10年ROE平均17.8%，波动仅5%，盈利稳定；近5年无亏损且经营现金流持续为正；资产负债率仅18%，财务风险极低；营收5年CAGR 10.9%，增长稳健。整体财务质量优秀，值得优先研究。,分红稳定性不足（未分红或数据不适用），可能影响收益预期；行业属性未明确，需关注竞争格局；自由现金流数据缺失，需进一步验证现金流质量。,关注分红政策变化；分析行业地位与竞争壁垒；补充自由现金流数据；跟踪营收增长可持续性及利润率趋势。,deepseek-chat,否,规则质量评级与AI评级一致
95.1,核心优质池,规则通过；规则质量优质候选；AI优质候选,规则质量100；ROE22.3%；ROE波动4.3%；数据质量High；AI优质候选；PE15.09；PB2.43,-,300770,CN,新媒股份,-,通用,ROE、现金流、资产负债率,15.09,2.43,22.3%,4.3%,-,22.4%,-,-,未分红/不适用,3.6%,10,10,100,High,未知,通过,100,优质候选,100,数据质量高；长期ROE达到行业优秀线；ROE稳定性较好；近5年无亏损；近5年经营现金流持续为正；自由现金流数据缺失，评级保守；资产负债率符合行业语境；营收增长达到行业较好水平,-,优质候选,High,10年ROE均值22.3%且波动仅4.3%，净利润波动系数0.55，近5年无亏损且经营现金流持续为正，资产负债率22.4%极低，财务质量优秀且稳定。营收CAGR 3.6%虽不高，但高ROE和低负债显示资本效率突出，值得优先研究。,营收增长放缓至3.6%，可能面临行业天花板；未分红可能影响部分投资者偏好；商誉和利息覆盖倍数数据缺失，需确认是否存在隐性风险。,关注营收增长能否提速；核查商誉及利息覆盖倍数；了解不分红原因及未来分红政策；跟踪行业竞争格局变化。,deepseek-chat,否,规则质量评级与AI评级一致
95.1,核心优质池,规则通过；规则质量优质候选；AI优质候选,规则质量100；ROE21.7%；ROE波动3.1%；数据质量High；AI优质候选；PE34.11；PB5.80,-,600563,CN,法拉电子,-,科技,营收增长、自由现金流、研发投入效率,34.11,5.80,21.7%,3.1%,-,30.9%,-,-,未分红/不适用,17.3%,10,10,100,High,未知,通过,100,优质候选,100,数据质量高；长期ROE达到行业优秀线；ROE稳定性较好；近5年无亏损；近5年经营现金流持续为正；自由现金流数据缺失，评级保守；资产负债率符合行业语境；营收增长达到行业较好水平,-,优质候选,High,10年ROE平均21.7%且波动仅3.1%，净利润波动0.42，近5年无亏损且经营现金流持续为正，资产负债率30.9%较低，营收5年CAGR达17.3%，显示高质量、稳定增长和良好现金流。,未分红可能影响收益型投资者；行业竞争或技术迭代风险；需关注未来增长可持续性。,关注未来分红政策变化；跟踪营收增长是否放缓；观察资本开支对自由现金流的影响。,deepseek-chat,否,规则质量评级与AI评级一致
95.1,核心优质池,规则通过；规则质量优质候选；AI优质候选,规则质量100；ROE22.6%；ROE波动4.2%；数据质量High；AI优质候选；PE19.36；PB2.38,-,603568,CN,伟明环保,-,通用,ROE、现金流、资产负债率,19.36,2.38,22.6%,4.2%,-,43.9%,-,-,未分红/不适用,9.8%,10,10,100,High,未知,通过,100,优质候选,100,数据质量高；长期ROE达到行业优秀线；ROE稳定性较好；近5年无亏损；近5年经营现金流持续为正；自由现金流数据缺失，评级保守；资产负债率符合行业语境；营收增长达到行业较好水平,-,优质候选,High,10年ROE均值22.6%且波动仅4.2%，净利润波动0.56，近5年无亏损且经营现金流持续为正，资产负债率43.9%适中，财务质量优秀且稳定。营收5年CAGR 9.8%显示稳健增长，具备持续研究价值。,未分红可能影响部分投资者偏好；行业依赖政策及项目获取能力；资产负债率虽适中但需关注债务结构；增长主要依赖内生，需验证未来项目储备。,关注未来分红政策变化；跟踪新项目中标及投产进度；观察资产负债率及现金流对扩张的支持；验证营收增长可持续性及利润率变化。,deepseek-chat,否,规则质量评级与AI评级一致
95.1,核心优质池,规则通过；规则质量优质候选；AI优质候选,规则质量100；ROE15.7%；ROE波动4.8%；数据质量High；AI优质候选；PE17.39；PB2.92,-,605305,CN,中际联合,-,通用,ROE、现金流、资产负债率,17.39,2.92,15.7%,4.8%,-,22.3%,-,-,未分红/不适用,20.8%,10,10,100,High,未知,通过,100,优质候选,100,数据质量高；长期ROE达到行业优秀线；ROE稳定性较好；近5年无亏损；近5年经营现金流持续为正；自由现金流数据缺失，评级保守；资产负债率符合行业语境；营收增长达到行业较好水平,-,优质候选,High,10年ROE均值15.7%且波动仅4.8%，净利润波动低（0.70），近5年无亏损且经营现金流持续为正，资产负债率仅22.3%，财务稳健。5年营收CAGR达20.8%，增长强劲。,未分红可能影响部分投资者偏好；行业属性未知，需关注竞争格局与市场空间；自由现金流数据缺失，需进一步验证现金流质量。,关注自由现金流趋势、行业竞争壁垒、分红政策变化及营收增长可持续性。,deepseek-chat,否,规则质量评级与AI评级一致
95.1,核心优质池,规则通过；规则质量优质候选；AI优质候选,规则质量100；ROE17.4%；ROE波动2.3%；数据质量High；AI优质候选；PE15.45；PB2.61,-,920735,CN,德源药业,-,通用,ROE、现金流、资产负债率,15.45,2.61,17.4%,2.3%,-,16.8%,-,-,未分红/不适用,19.8%,10,10,100,High,未知,通过,100,优质候选,100,数据质量高；长期ROE达到行业优秀线；ROE稳定性较好；近5年无亏损；近5年经营现金流持续为正；自由现金流数据缺失，评级保守；资产负债率符合行业语境；营收增长达到行业较好水平,-,优质候选,High,10年ROE均值17.4%且波动仅2.3%，净利润波动0.73，近5年无亏损且经营现金流持续为正，资产负债率仅16.8%，财务质量优秀。营收5年CAGR达19.8%，增长稳健。,未分红可能影响部分投资者偏好；行业属性未知，需关注竞争格局与政策风险；自由现金流数据缺失，需进一步验证现金流质量。,关注自由现金流趋势、行业竞争地位、研发投入及分红政策变化。,deepseek-chat,否,规则质量评级与AI评级一致
94.9,核心优质池,规则通过；规则质量优质候选；AI优质候选,规则质量100；ROE15.4%；ROE波动2.9%；数据质量High；AI优质候选；PE8.24；PB1.76,-,002128,CN,电投能源,-,通用,ROE、现金流、资产负债率,8.24,1.76,15.4%,2.9%,-,22.8%,-,-,未分红/不适用,5.1%,10,10,100,High,未知,通过,100,优质候选,100,数据质量高；长期ROE达到行业优秀线；ROE稳定性较好；近5年无亏损；近5年经营现金流持续为正；自由现金流数据缺失，评级保守；资产负债率符合行业语境；营收增长达到行业较好水平,-,优质候选,High,10年ROE均值15.4%且波动仅2.9%，净利润波动系数0.5，近5年无亏损且经营现金流持续为正，资产负债率22.8%极低，财务质量稳定。营收5年CAGR 5.1%增长稳健，现金流健康，具备持续研究价值。,未分红可能影响收益预期；行业属性（能源）可能受政策或周期影响；增长斜率偏低，需关注未来成长性。,关注未来分红政策变化；跟踪营收增长能否加速；观察行业竞争格局及能源价格波动对盈利的影响。,deepseek-chat,否,规则质量评级与AI评级一致
94.9,核心优质池,规则通过；规则质量优质候选；AI优质候选,规则质量100；ROE20.9%；ROE波动9.0%；数据质量High；AI优质候选；PE17.07；PB2.55,-,002991,CN,甘源食品,-,消费,ROE、毛利率稳定性、分红稳定性,17.07,2.55,20.9%,9.0%,-,20.9%,-,-,未分红/不适用,12.8%,10,10,100,High,未知,通过,100,优质候选,100,数据质量高；长期ROE达到行业优秀线；ROE稳定性较好；近5年无亏损；近5年经营现金流持续为正；自由现金流数据缺失，评级保守；资产负债率符合行业语境；营收增长达到行业较好水平,-,优质候选,High,10年ROE平均20.9%，波动仅9%，盈利能力强且稳定；近5年无亏损、经营现金流持续为正；资产负债率仅20.9%，财务结构稳健；营收5年CAGR 12.8%，增长可持续。,未分红可能影响部分投资者偏好；行业竞争加剧或成本上升可能压缩利润；需关注未来增长动力是否持续。,关注未来分红政策变化；跟踪营收增长趋势及利润率稳定性；观察行业竞争格局。,deepseek-chat,否,规则质量评级与AI评级一致
94.9,核心优质池,规则通过；规则质量优质候选；AI优质候选,规则质量100；ROE26.1%；ROE波动6.8%；数据质量High；AI优质候选；PE22.38；PB4.63,-,300832,CN,新产业,-,通用,ROE、现金流、资产负债率,22.38,4.63,26.1%,6.8%,-,8.0%,-,-,未分红/不适用,15.8%,10,10,100,High,未知,通过,100,优质候选,100,数据质量高；长期ROE达到行业优秀线；ROE稳定性较好；近5年无亏损；近5年经营现金流持续为正；自由现金流数据缺失，评级保守；资产负债率符合行业语境；营收增长达到行业较好水平,-,优质候选,High,10年ROE均值26.1%，波动仅6.8%，盈利质量极高；净利润波动0.46，近5年无亏损且经营现金流持续为正；资产负债率仅8%，财务结构极其稳健；5年营收CAGR 15.8%，增长稳定。整体财务质量、稳定性和增长均突出。,未分红可能影响部分投资者偏好；行业属性未知，需关注技术迭代或政策风险；自由现金流数据缺失，需进一步验证现金流质量。,关注自由现金流趋势、行业竞争格局及研发投入；验证高ROE的可持续性；了解不分红原因及未来分红政策。,deepseek-chat,否,规则质量评级与AI评级一致
94.9,核心优质池,规则通过；规则质量优质候选；AI优质候选,规则质量100；ROE21.4%；ROE波动5.2%；数据质量High；AI优质候选；PE20.02；PB3.13,-,301061,CN,匠心家居,-,通用,ROE、现金流、资产负债率,20.02,3.13,21.4%,5.2%,-,22.5%,-,-,未分红/不适用,15.1%,9,9,100,High,未知,通过,100,优质候选,100,数据质量高；长期ROE达到行业优秀线；ROE稳定性较好；近5年无亏损；近5年经营现金流持续为正；自由现金流数据缺失，评级保守；资产负债率符合行业语境；营收增长达到行业较好水平,-,优质候选,High,9年数据质量高，ROE长期21.4%且波动仅5.2%，净利润波动低（0.76），无亏损或OCF为负年份，资产负债率22.5%极低，营收5年CAGR 15.1%增长稳健。财务质量、稳定性和增长均突出。,未分红可能影响部分投资者偏好；行业属性未知，需关注竞争格局；FCF数据缺失，需进一步验证现金流质量。,关注未来分红政策变化；跟踪营收增长可持续性及行业趋势；补充FCF数据以评估现金流质量。,deepseek-chat,否,规则质量评级与AI评级一致；数据历史未满10年，长期质量结论仍需补充更长周期验证
