股票,市场,名称,行业,行业模型,核心指标,PE,PB,10年ROE,ROE波动,5年平均FCF,资产负债率,商誉占比,利息覆盖倍数,分红稳定性,5年营收CAGR,数据年数,缺失字段数,数据质量分,数据质量,杠杆风险,结果,分数,规则质量评级,规则质量分,质量理由,原因,AI评级,AI置信度,AI理由,AI风险,AI关注点,AI模型,规则AI分歧,综合观察
000058,CN,深 赛 格,-,通用,ROE、现金流、资产负债率,97.29,4.79,12.4%,24.4%,-,50.8%,-,-,未分红/不适用,-4.1%,10,10,100,High,未知,警惕,70,可跟踪,73,数据质量高；长期ROE达到行业优秀线；ROE波动偏大；近5年无亏损；近5年经营现金流持续为正；自由现金流数据缺失，评级保守；资产负债率符合行业语境；营收增长偏弱,10年ROE波动较大；10年净利润波动较大,,,,,,,未评估,暂无AI独立评估
000059,CN,华锦股份,-,通用,ROE、现金流、资产负债率,44.26,0.81,7.4%,19.5%,-,58.3%,-,-,未分红/不适用,2.0%,10,10,100,High,未知,排除,15,排除,20,规则排雷已判定存在硬伤,PB低但近5年出现亏损；10年ROE波动较大；10年净利润波动较大；长期ROE偏低但PE不低,,,,,,,未评估,暂无AI独立评估
000060,CN,中金岭南,-,通用,ROE、现金流、资产负债率,15.90,1.60,7.8%,2.4%,-,58.6%,-,-,未分红/不适用,8.0%,10,10,100,High,未知,警惕,85,优质候选,89,数据质量高；长期ROE达到行业基本线；ROE稳定性较好；近5年无亏损；近5年经营现金流持续为正；自由现金流数据缺失，评级保守；资产负债率符合行业语境；营收增长达到行业较好水平,长期ROE偏低但PE不低,,,,,,,未评估,暂无AI独立评估
000061,CN,农 产 品,-,通用,ROE、现金流、资产负债率,24.18,1.51,16.1%,26.7%,-,53.8%,-,-,未分红/不适用,12.4%,10,10,100,High,未知,警惕,85,优质候选,89,数据质量高；长期ROE达到行业优秀线；ROE波动偏大；近5年无亏损；近5年经营现金流持续为正；自由现金流数据缺失，评级保守；资产负债率符合行业语境；营收增长达到行业较好水平,10年ROE波动较大,,,,,,,未评估,暂无AI独立评估
000062,CN,深圳华强,-,通用,ROE、现金流、资产负债率,41.99,4.99,10.7%,4.1%,-,58.4%,-,-,未分红/不适用,2.2%,10,10,100,High,未知,通过,100,谨慎观察,46,数据质量高；长期ROE达到行业基本线；ROE稳定性较好；近5年无亏损；经营现金流多次为负；自由现金流数据缺失，评级保守；资产负债率符合行业语境；营收增长处于可接受区间,-,,,,,,,未评估,暂无AI独立评估
000063,CN,中兴通讯,-,通用,ROE、现金流、资产负债率,34.54,2.36,7.5%,14.1%,-,65.3%,-,-,未分红/不适用,4.0%,10,10,100,High,未知,警惕,55,可跟踪,67,数据质量高；长期ROE达到行业基本线；ROE波动偏大；近5年无亏损；近5年经营现金流持续为正；自由现金流数据缺失，评级保守；资产负债率略高但未构成硬伤；营收增长达到行业较好水平,10年ROE波动较大；10年净利润波动较大；长期ROE偏低但PE不低,,,,,,,未评估,暂无AI独立评估
000065,CN,北方国际,-,通用,ROE、现金流、资产负债率,32.09,1.27,12.6%,3.1%,-,55.0%,-,-,未分红/不适用,1.0%,10,10,100,High,未知,通过,100,优质候选,97,数据质量高；长期ROE达到行业优秀线；ROE稳定性较好；近5年无亏损；近5年经营现金流持续为正；自由现金流数据缺失，评级保守；资产负债率符合行业语境；营收增长处于可接受区间,-,,,,,,,未评估,暂无AI独立评估
000066,CN,中国长城,-,通用,ROE、现金流、资产负债率,-199.64,6.11,8.2%,35.4%,-,61.9%,-,-,未分红/不适用,-2.9%,10,10,100,High,未知,排除,30,排除,20,规则排雷已判定存在硬伤,10年内亏损年份过多；10年ROE波动较大；10年净利润波动较大,,,,,,,未评估,暂无AI独立评估
000068,CN,华控赛格,-,通用,ROE、现金流、资产负债率,-44.89,5.57,-6.2%,77.1%,-,73.6%,-,-,未分红/不适用,-2.9%,10,10,100,High,未知,排除,0,排除,20,规则排雷已判定存在硬伤,10年内亏损年份过多；10年ROE波动较大；10年净利润波动较大；长期ROE低于5%；资产负债率偏高,,,,,,,未评估,暂无AI独立评估
000069,CN,华侨城Ａ,-,通用,ROE、现金流、资产负债率,-2.99,0.48,2.0%,19.4%,-,80.6%,-,-,未分红/不适用,-25.6%,10,10,100,High,未知,排除,0,排除,20,规则排雷已判定存在硬伤,PB低但近5年出现亏损；10年内亏损年份过多；10年ROE波动较大；10年净利润波动较大；长期ROE低于5%；资产负债率偏高；近5年营收明显下滑,,,,,,,未评估,暂无AI独立评估
000070,CN,特发信息,-,通用,ROE、现金流、资产负债率,-437.61,16.68,5.6%,32.7%,-,78.6%,-,-,未分红/不适用,-1.0%,10,10,100,High,未知,排除,15,排除,20,规则排雷已判定存在硬伤,10年内亏损年份过多；10年ROE波动较大；10年净利润波动较大；资产负债率偏高,,,,,,,未评估,暂无AI独立评估
000088,CN,盐 田 港,-,通用,ROE、现金流、资产负债率,17.29,1.28,6.6%,1.7%,-,17.8%,-,-,未分红/不适用,6.0%,10,10,100,High,未知,警惕,85,可跟踪,71,数据质量高；长期ROE低于行业基本线；ROE稳定性较好；近5年无亏损；近5年经营现金流持续为正；自由现金流数据缺失，评级保守；资产负债率符合行业语境；营收增长达到行业较好水平,长期ROE偏低但PE不低,,,,,,,未评估,暂无AI独立评估
000089,CN,深圳机场,-,通用,ROE、现金流、资产负债率,13.35,1.16,1.9%,13.4%,-,52.9%,-,-,未分红/不适用,11.6%,10,10,100,High,未知,排除,30,排除,20,规则排雷已判定存在硬伤,10年ROE波动较大；10年净利润波动较大；长期ROE低于5%,,,,,,,未评估,暂无AI独立评估
000090,CN,天健集团,-,通用,ROE、现金流、资产负债率,-67.32,0.56,10.9%,5.4%,-,74.3%,-,-,未分红/不适用,-0.8%,10,10,100,High,未知,警惕,85,排除,37,数据质量高；长期ROE达到行业基本线；ROE稳定性较好；近5年无亏损；经营现金流存在瑕疵；自由现金流数据缺失，评级保守；资产负债率高于行业舒适区；营收增长偏弱,资产负债率偏高,,,,,,,未评估,暂无AI独立评估
000096,CN,广聚能源,-,通用,ROE、现金流、资产负债率,96.94,1.72,4.9%,3.3%,-,25.4%,-,-,未分红/不适用,-4.2%,10,10,100,High,未知,排除,60,排除,20,规则排雷已判定存在硬伤,长期ROE低于5%,,,,,,,未评估,暂无AI独立评估
000099,CN,中信海直,-,通用,ROE、现金流、资产负债率,34.90,2.36,5.1%,1.3%,-,27.7%,-,-,未分红/不适用,7.4%,10,10,100,High,未知,警惕,85,可跟踪,71,数据质量高；长期ROE低于行业基本线；ROE稳定性较好；近5年无亏损；近5年经营现金流持续为正；自由现金流数据缺失，评级保守；资产负债率符合行业语境；营收增长达到行业较好水平,长期ROE偏低但PE不低,,,,,,,未评估,暂无AI独立评估
000100,CN,TCL科技,-,科技,营收增长、自由现金流、研发投入效率,14.10,1.40,14.7%,14.7%,-,64.2%,-,-,未分红/不适用,3.0%,10,10,100,High,未知,警惕,70,谨慎观察,57,数据质量高；长期ROE达到行业优秀线；ROE波动偏大；近5年无亏损；近5年经营现金流持续为正；自由现金流数据缺失，评级保守；资产负债率高于行业舒适区；营收增长偏弱,10年ROE波动较大；10年净利润波动较大,,,,,,,未评估,暂无AI独立评估
000151,CN,中成股份,-,通用,ROE、现金流、资产负债率,63.22,4.85,8.0%,52.4%,-,73.8%,-,-,未分红/不适用,-15.0%,10,10,100,High,未知,排除,0,排除,20,规则排雷已判定存在硬伤,10年内亏损年份过多；10年ROE波动较大；10年净利润波动较大；长期ROE偏低但PE不低；资产负债率偏高；近5年营收增长偏弱,,,,,,,未评估,暂无AI独立评估
000153,CN,丰原药业,-,通用,ROE、现金流、资产负债率,19.15,1.30,6.6%,1.7%,-,58.0%,-,-,未分红/不适用,1.4%,10,10,100,High,未知,警惕,85,可跟踪,65,数据质量高；长期ROE低于行业基本线；ROE稳定性较好；近5年无亏损；近5年经营现金流持续为正；自由现金流数据缺失，评级保守；资产负债率符合行业语境；营收增长处于可接受区间,长期ROE偏低但PE不低,,,,,,,未评估,暂无AI独立评估
000156,CN,华数传媒,-,通用,ROE、现金流、资产负债率,31.10,0.92,5.6%,1.4%,-,47.5%,-,-,未分红/不适用,2.0%,10,10,100,High,未知,警惕,85,可跟踪,65,数据质量高；长期ROE低于行业基本线；ROE稳定性较好；近5年无亏损；近5年经营现金流持续为正；自由现金流数据缺失，评级保守；资产负债率符合行业语境；营收增长处于可接受区间,长期ROE偏低但PE不低,,,,,,,未评估,暂无AI独立评估
000157,CN,中联重科,-,通用,ROE、现金流、资产负债率,17.48,1.06,7.1%,5.2%,-,55.0%,-,-,未分红/不适用,-6.1%,10,10,100,High,未知,警惕,70,可跟踪,73,数据质量高；长期ROE达到行业基本线；ROE稳定性较好；近5年无亏损；近5年经营现金流持续为正；自由现金流数据缺失，评级保守；资产负债率符合行业语境；营收增长偏弱,长期ROE偏低但PE不低；近5年营收增长偏弱,,,,,,,未评估,暂无AI独立评估
000158,CN,常山北明,-,通用,ROE、现金流、资产负债率,-64.92,4.97,6.8%,20.0%,-,63.6%,-,-,未分红/不适用,-8.8%,10,10,100,High,未知,排除,15,排除,20,规则排雷已判定存在硬伤,10年内亏损年份过多；10年ROE波动较大；10年净利润波动较大；近5年营收增长偏弱,,,,,,,未评估,暂无AI独立评估
000159,CN,国际实业,-,通用,ROE、现金流、资产负债率,116.32,1.65,2.8%,3.9%,-,43.7%,-,-,未分红/不适用,15.4%,10,10,100,High,未知,排除,45,排除,20,规则排雷已判定存在硬伤,10年净利润波动较大；长期ROE低于5%,,,,,,,未评估,暂无AI独立评估
000166,CN,申万宏源,-,通用,ROE、现金流、资产负债率,11.96,0.98,7.4%,2.5%,-,76.6%,-,-,未分红/不适用,-8.3%,10,20,100,High,未知,警惕,55,排除,37,数据质量高；长期ROE达到行业基本线；ROE稳定性较好；近5年无亏损；经营现金流存在瑕疵；自由现金流数据缺失，评级保守；资产负债率高于行业舒适区；营收增长偏弱,长期ROE偏低但PE不低；资产负债率偏高；近5年营收增长偏弱,,,,,,,未评估,暂无AI独立评估
000301,CN,东方盛虹,-,通用,ROE、现金流、资产负债率,14.82,2.44,10.4%,13.0%,-,81.4%,-,-,未分红/不适用,24.3%,10,10,100,High,未知,警惕,55,排除,30,数据质量高；长期ROE达到行业基本线；ROE波动偏大；净利润波动偏大；近5年出现亏损；近5年经营现金流持续为正；自由现金流数据缺失，评级保守；资产负债率高于行业舒适区；营收增长达到行业较好水平,10年ROE波动较大；10年净利润波动较大；资产负债率偏高,,,,,,,未评估,暂无AI独立评估
000333,CN,美的集团,-,通用,ROE、现金流、资产负债率,12.08,2.64,23.9%,2.4%,-,61.2%,-,-,未分红/不适用,7.5%,10,10,100,High,未知,通过,100,优质候选,100,数据质量高；长期ROE达到行业优秀线；ROE稳定性较好；近5年无亏损；近5年经营现金流持续为正；自由现金流数据缺失，评级保守；资产负债率符合行业语境；营收增长达到行业较好水平,-,优质候选,High,10年ROE均值23.9%且波动仅2.4%，净利润波动0.33，近5年无亏损且经营现金流持续为正，显示极强盈利稳定性和现金流质量。营收5年CAGR 7.5%增长稳健。资产负债率61.2%在合理范围。整体财务质量优秀，值得优先研究。,资产负债率61.2%略高，需关注债务结构；未分红可能影响部分投资者偏好；行业竞争加剧可能影响增长持续性。,关注资产负债率变化及债务到期结构；跟踪营收增长趋势及市场份额变化；观察未来分红政策是否改善。,deepseek-chat,否,规则质量评级与AI评级一致
000338,CN,潍柴动力,-,通用,ROE、现金流、资产负债率,22.65,2.93,15.2%,5.7%,-,64.3%,-,-,未分红/不适用,1.3%,10,10,100,High,未知,通过,100,可跟踪,77,数据质量高；长期ROE达到行业优秀线；ROE稳定性较好；近5年无亏损；经营现金流存在瑕疵；自由现金流数据缺失，评级保守；资产负债率符合行业语境；营收增长处于可接受区间,-,,,,,,,未评估,暂无AI独立评估
000400,CN,许继电气,-,通用,ROE、现金流、资产负债率,62.26,2.25,8.4%,2.8%,-,49.0%,-,-,未分红/不适用,5.7%,10,10,100,High,未知,通过,100,优质候选,89,数据质量高；长期ROE达到行业基本线；ROE稳定性较好；近5年无亏损；近5年经营现金流持续为正；自由现金流数据缺失，评级保守；资产负债率符合行业语境；营收增长达到行业较好水平,-,,,,,,,未评估,暂无AI独立评估
000401,CN,金隅冀东,-,通用,ROE、现金流、资产负债率,-2.71,0.41,19.0%,26.4%,-,48.4%,-,-,未分红/不适用,-9.4%,10,10,100,High,未知,排除,15,排除,20,规则排雷已判定存在硬伤,PB低但近5年出现亏损；10年ROE波动较大；10年净利润波动较大；近5年营收增长偏弱,,,,,,,未评估,暂无AI独立评估
000402,CN,金 融 街,-,通用,ROE、现金流、资产负债率,6.41,0.45,-1.0%,16.5%,-,81.5%,-,-,未分红/不适用,-24.1%,10,10,100,High,未知,排除,0,排除,20,规则排雷已判定存在硬伤,PB低但近5年出现亏损；10年内亏损年份过多；10年ROE波动较大；10年净利润波动较大；长期ROE低于5%；资产负债率偏高；近5年营收明显下滑,,,,,,,未评估,暂无AI独立评估
000403,CN,派林生物,-,通用,ROE、现金流、资产负债率,109.55,1.24,10.8%,6.3%,-,14.6%,-,-,未分红/不适用,7.5%,10,10,100,High,未知,警惕,85,可跟踪,69,数据质量高；长期ROE达到行业基本线；ROE稳定性较好；近5年无亏损；经营现金流存在瑕疵；自由现金流数据缺失，评级保守；资产负债率符合行业语境；营收增长达到行业较好水平,10年净利润波动较大,,,,,,,未评估,暂无AI独立评估
000404,CN,长虹华意,-,通用,ROE、现金流、资产负债率,13.78,1.44,16.1%,28.0%,-,61.3%,-,-,未分红/不适用,-2.8%,10,10,100,High,未知,警惕,85,可跟踪,73,数据质量高；长期ROE达到行业优秀线；ROE波动偏大；近5年无亏损；近5年经营现金流持续为正；自由现金流数据缺失，评级保守；资产负债率符合行业语境；营收增长偏弱,10年ROE波动较大,,,,,,,未评估,暂无AI独立评估
000407,CN,胜利股份,-,通用,ROE、现金流、资产负债率,29.10,1.35,3.0%,6.1%,-,45.8%,-,-,未分红/不适用,-2.2%,10,10,100,High,未知,排除,45,排除,20,规则排雷已判定存在硬伤,10年净利润波动较大；长期ROE低于5%,,,,,,,未评估,暂无AI独立评估
